ISSUE_ID,USER,DATE,COMMENT
LUCENE-7616, Trejkaz,03/Jan/17 02:19,"As an additional nasty point, sometimes this method is called from places like BooleanQueryNodeBuilder, where it goes into an error message to show the user. So this error message also shows the wrong syntax, but it also isn't immediately clear how a QueryNodeBuilder would know what syntax was used to create the QueryNode it has been passed..."
LUCENE-7629, Mike Drob,11/Jan/17 23:12,"I suspect it might be a JVM issue with nothing that we can do to fix it, but couldn't find any other JIRAs reporting the same thing so it made sense to create one."
LUCENE-7630, Uwe Schindler,13/Jan/17 12:51,"Hi, could you create a Pull Request and add the link here?

About your branch: I would not use cloneAttributes() because thats slow for this simple case. cloneAttributes() only helps if you want to modify the attributes in the AttributeSource that was created, but is not useful for simple save/restore use cases.

For your case, you should simple use captureState(), save the state object and then call restorestate() instead of clearAttributes(). After restoring you can adapt term text and positions/offsets. In addition when you clone or capture state, the call to clearAttributes() is useless and also slows down. When restoring states, everything is restored, so the additional clearing before is not needed."
LUCENE-7630, Nathan Gass,13/Jan/17 15:05,"I commited the suggested improvements and made a pull request https://github.com/apache/lucene-solr/pull/138.

The NGramTokenFilter probably has the same issue. I can port the fix to that class when everything is correct."
LUCENE-7630, Uwe Schindler,13/Jan/17 15:06,"The NGramTokenFilter probably has the same issue. I can port the fix to that class when everything is correct.

Please do! You can update the current PR. Otheriwise PR looks fine."
LUCENE-7630, Nathan Gass,13/Jan/17 16:48,done
LUCENE-7630, Uwe Schindler,16/Jan/17 08:55,"Thanks, I will merge and commit this after some testing!"
LUCENE-7630, Uwe Schindler,16/Jan/17 11:14,Thanks Nathan!
LUCENE-7631, Mike Drob,14/Jan/17 01:29,"Patch that ensures we won't add any new compiler warnings in several categories (that we're pretty good on already) in the future. We can deal with fixing existing rawtypes or a few other classes of warning in the future.

David Smiley - you seemed interested in this conversation last time it came up."
LUCENE-7631, David Smiley,16/Jan/17 16:41,Thanks for filing this issue!  Are all the changes in this patch necessary to get the build to pass?  So to clarify... no code (outside what the patch touches) needs adjustments?
LUCENE-7631, Mike Drob,16/Jan/17 17:38,"Yes, the build passes for me with only the two additional changes in WordDictionary and SimpleServer.

Warnings for -Xlint:-auxiliaryclass -Xlint:-deprecation -Xlint:-rawtypes -Xlint:-serial -Xlint:-unchecked are all disabled. Each of those causes a lot of errors that I'd like to see eventually followed up on. The auxiliary class warnings are the easiest of those, but still enough work that I felt like it should be a separate task.

I also have a sneaking suspicion that this only affects lucene and solr is somehow ignoring it, but couldn't find anything to confirm that."
LUCENE-7631, Uwe Schindler,16/Jan/17 18:43,"Thanks Mike!
I am for using this patch. Robert's suggestion was to enable ""all"" warnings, but IMHO this is a bad idea, because if somebody compiles with a later Java version, the build may suddenly fail (because a later version of the compiler added a new warning type).

I am not sure if the warning exclusions are really needed, because we no longer have the general -Xlint. But it's good to have them listed!

The only downside of this patch is that we no longer get any warnings displayed that are currently disabled (rawtypes, unchecked). So we should fix them asap (in a separate issue).

BTW: Maybe we can enable rawtypes and unchecked errors earlier in Lucene and leave them disabled in Solr. As far as I remember we already have a separate warning setting for Solr. This may be the reason why Solr does not show any problems!?"
LUCENE-7631, Uwe Schindler,16/Jan/17 18:44,"Yes on Solr your change is not enabled: https://github.com/apache/lucene-solr/blob/master/solr/common-build.xml#L30

We should also review Solr (maybe in a separate issue)."
LUCENE-7631, Mike Drob,20/Jan/17 22:58,"I am not sure if the warning exclusions are really needed, because we no longer have the general -Xlint. But it's good to have them listed!
Yea, I like having them listed because it makes it easier to go back and look at them and decide which ones to add.

I don't have access to an IBM jdk to check if that produces different output or not. Uwe Schindler - do you think this is fine to commit or we should tackle more work in this issue?"
LUCENE-7631, Uwe Schindler,21/Jan/17 08:51,"Hi,
IBM JDK8+ should also use OpenJDK internally, so I dont't think hit has much different options. I can try later, I have one installed.

What do we do with Solr? Keep it as it is (it overrides to do no Xlint warnings at all and don't fail on warning). Otherwise I am fine with committing this. But we should really work on removing unsafe and rawtypes warnings from functions module. Now those are completely undetected (no warning, no error)."
LUCENE-7635, Masaru Hasegawa,16/Jan/17 08:49,Here is a patch.
LUCENE-7635, Hoss Man,18/Jan/17 21:59,"i'm not very familiar with Kuromoji but i believe the lines you 're deleting in this patch are intended to catch comments at the end of a line – not just the begining, ie...


# comment at start of line

朝青龍,朝青龍,アサショウリュウ,カスタム人名 # end line comment, has a comma in it
                                   # spans more then one line
abcd,a b cd,foo1 foo2 foo3,bar     # Another end line comment



Since it seems like the intent of the UserDict format is to be ""CSV with '#' comments"" it seems like the comment stripping should be moved to o.a.l.analysis.ja.util.CSVUtil where it can be done if-and-only-if the '#' is not part of a quoted value...


朝青龍,朝青龍,アサショウリュウ,カスタム人名  # end line comment, has a comma in it
                                    # spans more then one line
abcd,a b cd,foo1 foo2 foo3,bar      # Another end line comment
""quoted#sharp"",other,""quoted,stuff"" # yet another end line comment



ie: add a if(c == '#' && !insideQuote) block (similar to the existing COMMA conditional) to CSVUtil.parse() that would (trim and) add the final value to result and break out of the for loop.

?"
LUCENE-7635, Masaru Hasegawa,24/Jan/17 02:11,"It was done long time ago. I don't remember original intention... But it doesn't seem to be common for dictionaries to have comments at the end of line (synonym, stop).
Wonder if it's better to follow the same rule."
LUCENE-7646, Michael McCandless,20/Jan/17 13:53,"Note that you can use {noformat} around code blocks here to preserve indendentation.

Can you post the NullPointerException?

Was this already fixed by LUCENE-7576?  Though your ""silly"" regexp (..) should have been a NORMAL case I think?

I turned your code fragment into a test case (will attach patch) and it doesn't hit an NPE ...."
LUCENE-7646, Michael McCandless,20/Jan/17 13:54,"Patch w/ test case, but it does not show the NPE..."
LUCENE-7646, Tom Mortimer,23/Jan/17 11:35,"Mike, thanks for the comments. I didn't notice that when I posted the code like that, it changed the regex from


.*.*


to


..


which doesn't cause a problem. I've since found the same problem with the ""non-silly"" expression 


.*



Exception in thread ""main"" java.lang.NullPointerException
	at org.apache.lucene.index.AutomatonTermsEnum.<init>(AutomatonTermsEnum.java:79)
	at RegExpNPE.main(RegExpNPE.java:20)"
LUCENE-7646, Tom Mortimer,23/Jan/17 12:04,I've just tried with 6.4 and it does indeed seem to have been fixed by LUCENE-7576. I'd not realised I was using the API incorrectly. Thanks!
LUCENE-7646, Michael McCandless,23/Jan/17 12:09,"Phew, thanks for bringing closure Tom Mortimer!"
LUCENE-7647, Adrien Grand,20/Jan/17 15:02,"Here is a patch. On the writing side, things are easy since there is a single instance that is used from a single thread and for a short amount of time, so I just made the compressor implement Closeable. However things are a bit more complicated on the reading side because of clones and the fact that we do not close them all. So to keep things simple, I just changed the codec to create Inflater instances on demand."
LUCENE-7647, Robert Muir,20/Jan/17 15:33,What does it do to performance to create a deflater instance every time? This seems very inefficient.
LUCENE-7647, Robert Muir,20/Jan/17 15:38,s/deflater/inflater of course
LUCENE-7647, Adrien Grand,20/Jan/17 15:47,"For fetching the top hits I think it is fine anyway, if there is an issue I suspect it would be more with merging. I can try to run luceneutil with this change next week. Do you have ideas to make it more efficient maybe?"
LUCENE-7647, Robert Muir,20/Jan/17 15:55,"I think its first important to understand how it impacts performance, including worst cases. That means merging with deletes and lots of results and stuff too: not just best-cases like top hits only.

Alternative solutions are possible depending on the impact: e.g. pool managed by the top Decompressor and passed via clone(), and decompress could simply release back to the pool. This is kind of a standard pattern, but of course it adds complexity. We should avoid it if its really not necessary."
LUCENE-7647, Adrien Grand,23/Jan/17 15:29,"I ran a merge that cantains 1M documents from the wikipedia benchmark including deleted docs, in order to test the worst case. Here is what the info stream reports about stored fields before/after the change:

Before:

SM 0 [2017-01-23T15:03:34.956Z; Lucene Merge Thread #0]: 41827 msec to merge stored fields [996093 docs]
SM 0 [2017-01-23T15:06:49.785Z; Lucene Merge Thread #0]: 41722 msec to merge stored fields [996093 docs]
SM 0 [2017-01-23T15:14:09.943Z; Lucene Merge Thread #0]: 42138 msec to merge stored fields [996093 docs]



After:

SM 0 [2017-01-23T15:17:33.241Z; Lucene Merge Thread #0]: 42050 msec to merge stored fields [996093 docs]
SM 0 [2017-01-23T15:20:00.656Z; Lucene Merge Thread #0]: 42320 msec to merge stored fields [996093 docs]
SM 0 [2017-01-23T15:22:04.047Z; Lucene Merge Thread #0]: 42520 msec to merge stored fields [996093 docs]



I think this is either noise a an acceptable slow down. That makes sense since we always decompress about 16K of data. Initialization of the Inflater is likely much less costly than decompressing that amount of data."
LUCENE-7647, Robert Muir,25/Jan/17 15:51,Thanks for running the benchmark!
LUCENE-7650, Otmar Caduff,21/Jan/17 11:49,Java file for reproducing the error.
LUCENE-7650, Mikhail Khludnev,30/Jan/17 14:43,"since Complexphraseqp parses query twice, you need escape it twice. That is."
LUCENE-7650, Otmar Caduff,31/Jan/17 16:24,"Thanks! That helped. Not an issue anymore for me.
I think it would make sense to add to ComplexPhraseQueryParser's javadoc the following comment (or something alike):

Special care has to be given when escaping: because some parts of the query might be parsed multiple times, these parts have to be escaped as often."
LUCENE-7651, Uwe Schindler,22/Jan/17 09:15,"I set to ""critical"", because this also breaks our latest release 6.4, which can't be build from source with Java 8 update 121."
