ISSUE_ID,USER,DATE,COMMENT
MTOMCAT-103, Olivier Lamy (*$^¨%`£),28/Oct/11 07:47,"does the file smapi-1.0-war-exec.jar contains the war file smapi-1.0.war ?
As it looks to not be here: how do you configure the mojo in your pom ? "
MTOMCAT-103, Keith Corbin,28/Oct/11 14:07,"I have unziped the smapi1.0-war-exec.jar file and in it I see the smapi-1.0.war file.
I think it is finding the war, other wise I would be seeing the zip file exception that I saw when running it from the wrong directory. 

Here is how I have the plugin configured in the pom:
<plugin>
        <groupId>org.apache.tomcat.maven</groupId>
        <artifactId>tomcat7-maven-plugin</artifactId>
        <version>2.0-SNAPSHOT</version>
        <executions>
          <execution>
            <id>tomcat-run</id>
            <goals>
              <goal>exec-war-only</goal>
            </goals>
            <phase>package</phase>
            <configuration>
              <path>/smapi-1.0</path>
            </configuration>
          </execution>
        </executions>
      </plugin>  "
MTOMCAT-103, Olivier Lamy (*$^¨%`£),01/Nov/11 18:12,"should be fixed now. issue with path started with /
If you still have issues add a comment with stack trace.
Thanks. "
MTOMCAT-103, Hudson,01/Nov/11 18:15,"Integrated in TomcatMavenPlugin #56 (See https://builds.apache.org/job/TomcatMavenPlugin/56/)
    MTOMCAT-103 Executable War fails to run with a NullPointerException
do not record jar entry starting with / remove it.

olamy : http://svn.apache.org/viewvc/?view=rev&rev=1196179
Files : 

	/tomcat/maven-plugin/trunk/tomcat7-maven-plugin/src/main/java/org/apache/tomcat/maven/plugin/tomcat7/run/AbstractExecWarMojo.java
	/tomcat/maven-plugin/trunk/tomcat7-war-runner/src/main/java/org/apache/tomcat/maven/runner/Tomcat7Runner.java

 "
MTOMCAT-103, Keith Corbin,01/Nov/11 18:46,That fixed it for me.  Thanks so much for your fast resolution.  This is an amazing plug-in keep up the good work. 
MTOMCAT-104, Olivier Lamy (*$^¨%`£),20/Dec/11 00:13,some fixes has been committed do you still have the issue ? 
MTOMCAT-104, Keith Corbin,20/Dec/11 15:19,Nope this appears to be fixed. 
MTOMCAT-105, Olivier Lamy (*$^¨%`£),03/Nov/11 08:11,"It looks the war generated by your project is not generated.
Does your project produce a war file ?
To trigger exec-war-only goal in the package phase, your execution block must be in build/plugins/plugin rather than in pluginManagement section. "
MTOMCAT-105, albert kam,03/Nov/11 09:36,"Aha, i see !
Yes, it's just like you said, now the the goal is triggered when doing the package phase.
Thank you !

This should be another question, but still i got error when trying to run it with java -jar mywar.jar -httpPort 8080
Caused by: com.sun.faces.config.ConfigurationException: Unable to parse document 'jndi:/localhost/PrimefacesSetup/WEB-INF/faces-config.xml': jndi:/localhost/PrimefacesSetup/WEB-INF/faces-config.xml
        at com.sun.faces.config.ConfigManager$ParseTask.call(ConfigManager.java:920)
        at com.sun.faces.config.ConfigManager$ParseTask.call(ConfigManager.java:865)
        at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334)
        at java.util.concurrent.FutureTask.run(FutureTask.java:166)
        at com.sun.faces.config.ConfigManager.getConfigDocuments(ConfigManager.java:656)
        ... 10 more
Caused by: java.io.FileNotFoundException: jndi:/localhost/PrimefacesSetup/WEB-INF/faces-config.xml
        at org.apache.naming.resources.DirContextURLConnection.getInputStream(DirContextURLConnectio
n.java:385)
        at com.sun.faces.config.ConfigManager$ParseTask.getInputStream(ConfigManager.java:1106)
        at com.sun.faces.config.ConfigManager$ParseTask.getDocument(ConfigManager.java:941)
        at com.sun.faces.config.ConfigManager$ParseTask.call(ConfigManager.java:911)
        ... 14 more

Strange that it's looking in the naming, since i got the file in here (i check the file's existence after extracting the executable war)
C:\Users\albert\workspace\PrimefacesSetup\target\PrimefacesSetup-0.0.1-SNAPSHOT-war-exec\PrimefacesSetup\WEB-INF\faces-config.xml
And yup, it works fine in tomcat7:run ..

Out of topic question :
Do you have a mailing list or a group or forum where i can ask questions ?
I feel bad about making issues without first discussing it. =)
 "
MTOMCAT-105, Olivier Lamy (*$^¨%`£),03/Nov/11 09:59,"see http://tomcat.apache.org/maven-plugin-2.0-SNAPSHOT/mail-lists.html
Can I have a sample application  to reproduce that ? "
