ISSUE_ID,USER,DATE,COMMENT
RAT-3, Robert Burrell Donkin,26-05-08 18:40,"The text is a free unpaginated sample from the start of the file. However, stylesheet used to generate plain text report contained errant whitespace. This has now been removed."
RAT-3, Sebb,02-09-11 0:26,"The report now looks like this:

 =======================================================================
 ==src/conf/MANIFEST.MF
 =======================================================================
Manifest-Version: 1.0
Package: @package@
Extension-Name: @name@

i.e. the header is indented, but the file is not.

This was using version 0.7"
RAT-3, Gavin,19-11-11 3:50,"Fixed in r1203953 , feel free to test/check."
RAT-3, Stefan Bodewig,21-11-11 13:23,Neither the first line nor the header are indented with svn revision 1204460
RAT-7, David Crossley,11-04-08 2:47,"I agree. See the perl scripts in
https://svn.apache.org/repos/private/committers/relicense/src/perl/
insert_license.pl and update-AL20.pl

It has patterns for each version of Apache License header. There are also some variations in existence. I spent a lot of effort detecting each license type (also detect third-party code that uses the Apache License)."
RAT-7, Robert Burrell Donkin,17-05-08 21:58,Agreed. Want to help with the code?
RAT-7, Philipp Ottlinger,06-12-11 20:37,Is this task a duplicate of RAT-16 or what's the difference here? Thanks.
RAT-7, Stefan Bodewig,07-12-11 7:44,"I'm not sure what RAT-16 really is but I think RAT-16 is resolved and this one is the oposite of it.

Over time we've had several license headers in use at the ASF and RAT doesn't properly recognize the ones that are outdated by now."
RAT-7, David Crossley,08-12-11 23:29,"The scripts mentioned above needed to first detect that it is an AL-type header, then detect other patterns to distinguish between the variants."
RAT-7, David Crossley,09-12-11 1:36,"Here are some modified snippets from those Perl scripts:

--------
AL-20 = Apache License 2.0 with original Copyright line.

AL-20a = Apache License 2.0 with original Copyright line and ""or its licensors"".

AL-20b = Apache License 2.0 with no Copyright line, i.e. the current style.

AL-20x = same as AL-20b but missing the word ""contributor"". (That was due to a mistake that i made, and only discovered a few days later. Hopefully no-one but Forrest/Cocoon used the script during that time.)

F-AL-20 = If not one of the above, then assume it is someone else using AL-20.

AL-12 = Apache Software License Version 1.2
F-AL-12 = someone else using AL-12.

AL-11 = Apache Software License Version 1.1
F-AL-11 = someone else using AL-11.

AL-10 = Copyright The Apache Group

--------
LICENSE_CASE: {
  if ($headContent =~ /Licensed .* Apache Software Foundation (ASF) under/) {
    if ($headContent !~ /contributor license agreements\.[ ]+See the NOTICE/) 
{
      # detect an error with a previous version of this script
      $licenseType = ""AL-20x"";
    }
    else 
{
      $licenseType = ""AL-20b"";
    }
    last LICENSE_CASE;
  }
  if ($headContent =~ /Licensed under the Apache License.*Version 2.0/) {
    if ($headContent =~ /Apache Software Foundation or its licensors/) 
{
      $licenseType = ""AL-20a"";
      $warnAL20aOldLicense = 1;
    }
    else {
      if ($headContent =~ /Copyright.*Apache Software Foundation/) 
{
        $licenseType = ""AL-20"";
        $warnAL20OldLicense = 1;
      }
      else 
{
        $licenseType = ""F-AL-20"";
      }
    }
    last LICENSE_CASE;
  }
  if ($headContent =~ /The Apache Software License.*Version 1.2/) {
    if ($headContent =~ /Copyright.*Apache Software Foundation/) 
{
      $licenseType = ""AL-12"";
    }
    else 
{
      $licenseType = ""F-AL-12"";
    }
    last LICENSE_CASE;
  }
  if ($headContent =~ /The Apache Software License.*Version 1.1/) {
    if ($headContent =~ /Copyright.*Apache Software Foundation/) 
{
      $licenseType = ""AL-11"";
    }
    else 
{
      $licenseType = ""F-AL-11"";
    }
    last LICENSE_CASE;
  }
  if ($headContent =~ /Copyright.*The Apache Group/) 
{
    $licenseType = ""AL-10"";
    last LICENSE_CASE;
  }
}

--------
Improvements:


	Needs to handle double-justified text, hence multiple whitespace. Ignore whitespace.




	Pattern matching needs to be multi-line.




	Perhaps need to handle ""[Tt]he Apache""."
RAT-7, Stefan Bodewig,12-12-11 12:23,"The FullTextMatchingLicense base class I extracted out of the OASIS license for MIT and GPL may already be usable for that.

It matches on multiple lines, ignores whitespace (in fact everything that's not a character or a number) and is mostly case-insensitive.  It doesn't do regexes at all, though, it performs a substring match.  Actually I now realize this isn't true as it uses a regex internally, it would just strip out any special characters from the pattern the way it works right now.  Shouldn't be too difficult to adapt, in particular since we don't need to care about backwards compatibility (the class is new)."
RAT-11, Ross Gardler,03-05-08 23:59,Report correct num of unapproved licences
RAT-11, Jochen Wiedmann,18-05-08 12:18,The best way to fix this issue is by resolving RAT-14.
RAT-11, Jukka Zitting,18-01-09 11:41,"Oops, I didn't notice this issue when filing RAT-35. Resolving this as a reverse duplicate as the patch in RAT-35 got already applied."
RAT-12, Ross Gardler,04-05-08 0:01,Correct SCM info
RAT-12, Robert Burrell Donkin,26-05-08 18:47,Committed. Many thanks.
RAT-29, Ross Gardler,05-07-08 22:52,"I'm not seeing this error on Windows + Cygwin 

I'm on Maven 2.0.7 rather than 2.0.8 in the original  report"
