ISSUE_ID,PRIORITY,STATUS,RESOLUTION,CREATION_DATE,CONTEXT
LUCENE-7616,Major,Open,Unresolved,03/Jan/17 02:02,"QueryNode#toQueryString says it produces a string in the syntax understood by ""the query parser"", but cannot possibly know how"
LUCENE-7629,Major,Open,Unresolved,11/Jan/17 23:11,ClassCastException in BytesStore.ramBytesUsed
LUCENE-7630,Minor,Closed,Fixed,13/Jan/17 12:35,EdgeNGramTokenFilter drops payloads
LUCENE-7631,Major,Open,Unresolved,14/Jan/17 01:27,Enforce javac warnings
LUCENE-7635,Major,Open,Unresolved,16/Jan/17 08:47,Kuromoji fails if user dictionary contains #
LUCENE-7642,Major,Open,Unresolved,18/Jan/17 13:55,TestGeo3DPoint.testGeo3DRelations() failure: invalid hits for shape=GeoCompositeMembershipShape
LUCENE-7646,Minor,Closed,Fixed,20/Jan/17 12:45,AutomatonTermsEnum constructor throws a NullPointerException with match-all RegExp
LUCENE-7647,Major,Closed,Fixed,20/Jan/17 14:54,CompressingStoredFieldsFormat should reclaim memory more aggressively
LUCENE-7650,Minor,Open,Unresolved,21/Jan/17 11:48,Complexphrase queryparser stumbles on phrase query with trailing escaped colon
LUCENE-7651,Critical,Closed,Fixed,22/Jan/17 09:11,Javadocs build fails with Java 8 update 121
LUCENE-7652,Critical,Closed,Duplicate,23/Jan/17 03:19,LRUQueryCache / IndexSearcher.DEFAULT_QUERY_CACHE memory leak
LUCENE-7657,Major,Closed,Fixed,24/Jan/17 09:49,Queries that reference a TermContext can cause a memory leak when they are cached
LUCENE-7662,Major,Closed,Fixed,27/Jan/17 17:57,Index with missing files should throw CorruptIndexException
LUCENE-7668,Major,Closed,Fixed,30/Jan/17 11:53,WordDelimiterGraphFilter fails to preserve token type
LUCENE-7670,Major,Closed,Fixed,31/Jan/17 05:57,AnalyzingInfixSuggester should not immediately open an IndexWriter over an already-built index
LUCENE-7672,Major,Open,Unresolved,31/Jan/17 17:59,CachingNaiveBayesClassifier doesn't compute log prior.
