ISSUE_ID,PRIORITY,STATUS,RESOLUTION,CREATION_DATE,CONTEXT
MTOMCAT-103,Critical,Closed,Fixed,27/Oct/11 14:50,Executable War fails to run with a NullPointerException
MTOMCAT-104,Minor,Closed,Fixed,27/Oct/11 19:58,Running java -jar from a parent directory causes a Zip file error
MTOMCAT-105,Critical,Closed,Incomplete,03/Nov/11 06:36,creating executable war failed
MTOMCAT-106,Major,Closed,Fixed,16/Nov/11 16:41,tomcat7-maven-plugin extraDependency not working with class not found
MTOMCAT-108,Major,Closed,Fixed,12/Dec/11 21:11,THe httpsPort flag starts another http thread not an https thread
MTOMCAT-118,Major,Closed,Fixed,02/Feb/12 09:45,tomcat7:run wont accept additionalClasspathDir arguments
MTOMCAT-119,Major,Closed,Fixed,16/Feb/12 18:13,tomcat7:run-war fails because it expects META-INF\context.xml
MTOMCAT-123,Major,Closed,Fixed,05/Mar/12 17:15,Can't add test scoped dependency filters to web.xml
MTOMCAT-125,Major,Open,Unresolved,09/Mar/12 10:48,"mvn tomcat7:run got ""javax.naming.NameNotFoundException: Name jdbc is not bound in this Context"""
MTOMCAT-128,Trivial,Closed,Fixed,16/Mar/12 15:09,The plugin ignores and/or parses web.xml incorrectally when using tomcatWebXml option
MTOMCAT-129,Major,Closed,Duplicate,16/Mar/12 18:59,Regression of MTOMCAT-54 in tomcat7-maven-plugin
MTOMCAT-133,Major,Closed,Fixed,04/Apr/12 11:08,"Servlet mapping to ""/"" does not work"
MTOMCAT-134,Minor,Closed,Fixed,04/Apr/12 19:21,Empty additionalClasspathDir causes NPE in RunMojo.java
MTOMCAT-135,Major,Closed,Fixed,05/Apr/12 08:13,tomcat7:run does not load HandlesTypes in application classes
MTOMCAT-136,Major,Closed,Fixed,05/Apr/12 13:52,Tomcat7-maven-plugin 2.0-beta1 and useSeparateTomcatClassloader fails with run goal
MTOMCAT-138,Major,Closed,Fixed,11/Apr/12 08:11,Cannot define the  embedded Tomcat version
MTOMCAT-139,Major,Closed,Fixed,11/Apr/12 10:49,All static resources gives error 404
MTOMCAT-141,Major,Closed,Fixed,13/Apr/12 11:46,"Context root ""/"" not working for Tomcat 7 Run"
MTOMCAT-142,Major,Closed,Fixed,13/Apr/12 14:35,"contextFile path=""..."" ignored when using tomcat7:run"
