ISSUE_ID,COMMENT,
LUCENE-7616,"As an additional nasty point, sometimes this method is called from places like BooleanQueryNodeBuilder, where it goes into an error message to show the user. So this error message also shows the wrong syntax, but it also isn't immediately clear how a QueryNodeBuilder would know what syntax was used to create the QueryNode it has been passed.",
LUCENE-7629,"I suspect it might be a JVM issue with nothing that we can do to fix it, but couldn't find any other JIRAs reporting the same thing so it made sense to create one.",
LUCENE-7630,"Hi, could you create a Pull Request and add the link here? About your branch: I would not use cloneAttributes() because thats slow for this simple case. cloneAttributes() only helps if you want to modify the attributes in the AttributeSource that was created, but is not useful for simple save/restore use cases. For your case, you should simple use captureState(), save the state object and then call restorestate() instead of clearAttributes(). After restoring you can adapt term text and positions/offsets. In addition when you clone or capture state, the call to clearAttributes() is useless and also slows down. When restoring states, everything is restored, so the additional clearing before is not needed.",
LUCENE-7630,I commited the suggested improvements and made a pull request https://github.com/apache/lucene-solr/pull/138. The NGramTokenFilter probably has the same issue. I can port the fix to that class when everything is correct.,
LUCENE-7630,The NGramTokenFilter probably has the same issue. I can port the fix to that class when everything is correct.Please do! You can update the current PR. Otheriwise PR looks fine.,
LUCENE-7630,done,
LUCENE-7630,"Thanks, I will merge and commit this after some testing!",
LUCENE-7630,Thanks Nathan!,
LUCENE-7631,Patch that ensures we won't add any new compiler warnings in several categories (that we're pretty good on already) in the future. We can deal with fixing existing rawtypes or a few other classes of warning in the future. David Smiley - you seemed interested in this conversation last time it came up.,
LUCENE-7631,Thanks for filing this issue!  Are all the changes in this patch necessary to get the build to pass?  So to clarify... no code (outside what the patch touches) needs adjustments?,
LUCENE-7631,"Yes, the build passes for me with only the two additional changes in WordDictionary and SimpleServer. Warnings for -Xlint:-auxiliaryclass -Xlint:-deprecation -Xlint:-rawtypes -Xlint:-serial -Xlint:-unchecked are all disabled. Each of those causes a lot of errors that I'd like to see eventually followed up on. The auxiliary class warnings are the easiest of those, but still enough work that I felt like it should be a separate task. I also have a sneaking suspicion that this only affects lucene and solr is somehow ignoring it, but couldn't find anything to confirm that.",
LUCENE-7631,"Thanks Mike! I am for using this patch. Robert's suggestion was to enable ""all"" warnings, but IMHO this is a bad idea, because if somebody compiles with a later Java version, the build may suddenly fail (because a later version of the compiler added a new warning type). I am not sure if the warning exclusions are really needed, because we no longer have the general -Xlint. But it's good to have them listed! The only downside of this patch is that we no longer get any warnings displayed that are currently disabled (rawtypes, unchecked). So we should fix them asap (in a separate issue). BTW: Maybe we can enable rawtypes and unchecked errors earlier in Lucene and leave them disabled in Solr. As far as I remember we already have a separate warning setting for Solr. This may be the reason why Solr does not show any problems!?",
LUCENE-7631,Yes on Solr your change is not enabled: https://github.com/apache/lucene-solr/blob/master/solr/common-build.xml#L30 We should also review Solr (maybe in a separate issue).,
LUCENE-7631,"I am not sure if the warning exclusions are really needed, because we no longer have the general -Xlint. But it's good to have them listed! Yea, I like having them listed because it makes it easier to go back and look at them and decide which ones to add. I don't have access to an IBM jdk to check if that produces different output or not. Uwe Schindler - do you think this is fine to commit or we should tackle more work in this issue?",
LUCENE-7631,"Hi, IBM JDK8+ should also use OpenJDK internally, so I dont't think hit has much different options. I can try later, I have one installed. What do we do with Solr? Keep it as it is (it overrides to do no Xlint warnings at all and don't fail on warning). Otherwise I am fine with committing this. But we should really work on removing unsafe and rawtypes warnings from functions module. Now those are completely undetected (no warning, no error).",
LUCENE-7635,Here is a patch.,
LUCENE-7635,"i'm not very familiar with Kuromoji but i believe the lines you 're deleting in this patch are intended to catch comments at the end of a line – not just the begining, ie�",
LUCENE-7635,"It was done long time ago. I don't remember original intention... But it doesn't seem to be common for dictionaries to have comments at the end of line (synonym, stop). Wonder if it's better to follow the same rule.",
LUCENE-7646,"Note that you can use {noformat} around code blocks here to preserve indendentation. Can you post the NullPointerException? Was this already fixed by LUCENE-7576?  Though your ""silly"" regexp (..) should have been a NORMAL case I think? I turned your code fragment into a test case (will attach patch) and it doesn't hit an NPE ....",
